Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-06,Enter the Void,2009,https://boxd.it/aexXnZ,4.5,,"tokyo has never looked hotter and i’ve never felt dumber.if reincarnation means coming back as a POV shot through a fluorescent womb, count me in.",,2025-07-06
2025-07-07,Rain Man,1988,https://boxd.it/af8OSj,4.5,,"autism, inheritance trauma, gambling, and a cross-country fit check? that’s cinema.",,2025-07-07
2025-07-08,"Crazy, Stupid, Love.",2011,https://boxd.it/afBqVV,4,Yes,Almost as if you’re soft-launching a man who updates his PS5 more than himself. Monogamy as the aftermath of a threesome no one remembers.,,2025-07-07
2025-07-08,Detachment,2011,https://boxd.it/ag0nXz,3.5,,skincare commercial for men who vape through generational trauma.,,2025-07-08
2025-07-09,Gazer,2024,https://boxd.it/aggiW9,4,,"Unstable clock app energy in a post-reality economy. Watching time rot in a thrifted VHS. No jumpscares, just a soft descent into a reality where memory reads like state propaganda. Nobody’s real, not even the tape. Loved it",,2025-07-08
2025-07-09,Fresh,2022,https://boxd.it/agPxqR,4,Yes,"the film opens like an indie romcom on zoloft, scripted on a strava run, then dives headfirst into girl dinner: artisanal edition. 
mimi cave directs like she’s survived too many bad dates but still slow dances with death in a sundress.",,2025-07-09
2025-07-11,Superman,2025,https://boxd.it/ai852p,5,,"<b>So anyway,  about the man in the cape.</b>
I'd write essays for him. I'd monologue.
Superman isn't sexy because he's invincible—
 he's sexy because he chooses to be gentle.
And in this economy? That's revolutionary.

this version? Gunn gives him back to the dreamer
—the girls with fanfiction tabs open and underlined Plato in their bags.

My friends have begged me — <b>begged —</b>
since childhood to stop explaining every microscopic detail of his arc.
The lore. The edits. The moral contradictions.
I didn't stop. I won't.

<b>Idealism isn’t dead.Just hot.</b>",,2025-07-11
2025-07-12,Shithouse,2020,https://boxd.it/ailfOT,4,,the movie version of ordering a matcha with oat milk and telling someone you’re fine — right before vanishing into a fog-drenched warehouse rave where no one’s danced sober since 2021,,2025-07-11
2025-07-13,The Love Witch,2016,https://boxd.it/aj7I2F,4.5,,"anna biller made a film so powdered, so poisoned, it feels ghostwritten by a sleep paralysis demon.
if eyeshadow could hex, this one’s wearing the male gaze like expired mascara.
a barbiecore giallo where the real violence is heterosexuality.",,2025-07-12
2025-07-13,Nocturnal Animals,2016,https://boxd.it/ajiFCH,5,Yes,"<b>tech noir for the emotionally literate.</b>
power doesn’t soft-sell here—it styles, stalks, and stabs.
nobody survives wealth this glass-skinned.",,2025-07-13
2025-07-17,Fat Girl,2001,https://boxd.it/amdutV,3.5,,"girlhood here isn’t pink—it’s meat on bone. every look a transaction, Breillat doesn’t moralise—she drags your gaze through filtered puberty and calls it cinema.",,2025-07-16
2025-07-21,The Party,1980,https://boxd.it/aph3ef,3,,"i wanna kiss in a striped tee and never recover. not out of love—out of state-mandated psychosis. it’s all nicotine-dusted, rotting-from-within. nothing new, but it gnaws.",,2025-07-20
2025-07-21,Red Eye,2005,https://boxd.it/apWprR,3.5,Yes,nothing scarier than a hot man with motive & screen time. wes craven said: romcom but make it sexual terrorism on aisle 13C.,,2025-07-21
2025-08-01,Funny Games,1997,https://boxd.it/ayuUTx,3.5,,Imagine Home Alone if Letterboxd kids made it their personality and the intruders moderated incel forums for fun.,,2025-08-01
2025-08-12,Frida,2002,https://boxd.it/aHg5sN,2,,"Colonialism? Outlived it. Chronic pain? Painted through it. Men who think they’re artists? Fucked one, painted him uglier.",,2025-08-12
2025-08-15,Don't Cry for Salim the Lame,1989,https://boxd.it/aJK5hX,3.5,,"CUNT (cocky until the next tear)
Salim in four words.",,2025-08-15
2025-08-20,Sex Is Comedy,2002,https://boxd.it/aNuatt,4.5,,"<b>Proof that foreplay is just Marxist labor theory in better lighting </b>
A man shivering on a beach while being told to look aroused is film’s greatest joke and Breillat knows the punchline.",,2025-08-20
2025-08-23,All That Jazz,1979,https://boxd.it/aPcwTP,5,Yes,"Art, ego, and entropy edited into a rhythm so perfect it hurts.",,2025-08-23
2025-08-26,The Report,2019,https://boxd.it/aRpZhT,3.5,,"It’s not thrilling in a popcorn sense, but if you like watching systems unravel under their own hypocrisy, this hits like a quiet gut punch.",,2025-08-25
2025-08-26,Superman,2025,https://boxd.it/aROc0f,,Yes,"Turns out the real cringe and the joke was my last review thinking romanticizing nihilism counted as depth. The only one making sense here was Krypto, and he can’t even talk or gaslight me.",,2025-08-26
2025-08-27,Sicario,2015,https://boxd.it/aSrSsD,3,,It raw dogs morality and doesn’t pull out. Gunfire and moans? Same BPM.,,2025-08-27
2025-08-28,Green Room,2015,https://boxd.it/aSLUVn,4,,"Punk’s not dead, it’s duct taped and screaming for the setlist while Nazis circle like Depop sellers on payday.",,2025-08-28
2025-08-29,Relay,2024,https://boxd.it/aToSL9,3.5,,surveillance kink,,2025-08-29
2025-08-30,Clue,1985,https://boxd.it/aU0NK7,5,,"Tim Curry turned a whodunnit into a whodidn’t-stand-a-chance, leaving the rest of the cast crawling in his shadow.",,2025-08-30
2025-08-31,Swept Away,1974,https://boxd.it/aUQ78z,2,,Class struggle but make it a hate fuck vacation package,,2025-08-31
2025-09-01,Body Heat,1981,https://boxd.it/aVutHh,3.5,,Two people so horny they confused arson for love,,2025-09-01
2025-09-02,Ready or Not,2019,https://boxd.it/aWDKeX,4,,Til death do us part morgue edition,,2025-09-02
2025-09-03,Fat City,1972,https://boxd.it/aXmBS5,4.5,,"Hopeless boxing, how I love. PEAK ROTGUT.",,2025-09-03
2025-09-06,Rumble Fish,1983,https://boxd.it/aYZxBL,4,,if gang wars were filmed by a man too in love with smoke machines to notice his script died in the alley,,2025-09-06
2025-09-08,Dick,1999,https://boxd.it/b0cuWr,4,,"Finally, a Dick worth sitting through.",,2025-09-08
2025-09-11,Two Hands,1999,https://boxd.it/b23D07,3.5,,"Ledger’s hot, the rest is just poverty on loop.",,2025-09-11
2025-09-18,Cruel Intentions,1999,https://boxd.it/b6cKUZ,2.5,,basically bored rich kid’s catholic guilt in push up bra with lipgloss and lies,,2025-09-17
2025-09-19,Juror #2,2024,https://boxd.it/b6KUF9,4,,ironically Lex Luthor isn’t bald here,,2025-09-19
2025-09-21,The Cotton Club,1984,https://boxd.it/b7ZwxJ,3.5,,"gangsters, tap shoes, and way too much saxophone in sweat and gin",,2025-09-21
2025-09-23,Babylon,2022,https://boxd.it/b9gXHp,5,Yes,"I’m convinced this is my every breath you take movie edit. toxic, obsessive devotion included rewatch by rewatch.",,2025-09-23
2025-09-28,One Battle After Another,2025,https://boxd.it/bbYjJh,5,,"Cinema bent over,Fascists bent the knee. PTA made it beg.",,2025-09-27
2025-10-15,(500) Days of Summer,2009,https://boxd.it/bn6Hs5,0.5,Yes,"if self pity had a dick, it would look like this movie.",,2025-10-15
2025-10-18,Election,1999,https://boxd.it/boJcBd,4,,tracy flick walked so every unmedicated overachiever could collapse in a blazer,,2025-10-18
2025-10-19,Chef,2014,https://boxd.it/bprmOp,4,Yes,the grilled cheese scene alone gets delusion better than most people i’ve dated,,2025-10-19
2025-10-20,Full Metal Jacket,1987,https://boxd.it/bqfMs5,4,,"it’s funny until it isn’t, which is exactly kubrick’s kink.",,2025-10-20
2025-10-23,The Ghost Writer,2010,https://boxd.it/bsjFEJ,3,,the sea’s louder than the script but at least it has depth,,2025-10-23
2025-10-24,Blink Twice,2024,https://boxd.it/bsQ3uR,3.5,,"the vacation ends, but the hangover is neoliberal. sex, surveillance, glossy feral energy. It knows it’s bait, too much SPF for a film this pale, but it slaps like a sunburn you secretly wanted.",,2025-10-24
2025-10-25,Crash,1996,https://boxd.it/btrDZv,0.5,Yes,horny cinema i love you lmao 😭,,2025-10-25
2025-10-28,Bombay Boys,1998,https://boxd.it/bvRybP,0.5,,"everyone snorted the idea of postcolonial identity and decided to improvise the aftermath. chaos, camp, and the kind of delusion only the 90s could romanticize. i kinda respect the mess.",,2025-10-28
2025-10-30,The Souvenir,2019,https://boxd.it/bxa4yh,4,,cinema for people who mistake art school romance with a withdrawal slip,,2025-10-30
2025-11-01,Gone Girl,2014,https://boxd.it/byr2Lr,3.5,,watched it a decade late and honestly? she just overdid what every woman’s thought mid argument.,,2025-11-01
2025-11-02,Bugonia,2025,https://boxd.it/bzdBwn,4.5,,the 9-to-5 girlies when they finally snap,,2025-11-02
2025-11-05,Together,2025,https://boxd.it/bBuJhx,3.5,,"Bergman’s ghost probably rage quit halfway, said it’s giving art house starvation",,2025-11-05
2025-11-07,The Paranoids,2008,https://boxd.it/bCBgEF,4.5,,Only this film could make creative insecurity feel like a sport. I hate how much I loved it.,,2025-11-07
2025-11-12,Frankenstein,2025,https://boxd.it/bGLi2T,4,,"This is basically men ruining everything but gothic and gorgeous. Thanks, I guess.
The church lighting was for Jacob Elordi’s face, not God.",,2025-11-12
2025-11-22,Messy,2024,https://boxd.it/bMXrpF,1.5,,"This film has the exact energy of every left footer
I've ever trusted disastrous but irresistible 
(the poster? felt too seen. my watchlist looks at me the same way)",,2025-11-21
2025-11-23,Looking for Mr. Goodbar,1977,https://boxd.it/bNJipR,4,,"It’s the kind of film where a woman tries to live, want, fuck, exist  and the whole sociopolitical ecosystem reacts like a failed football club. Every man walks around with the swagger of a midfielder who can’t finish on the pitch or anywhere else. Fashion immaculate,Politics rancid,Men consistently embarrassing.",,2025-11-22
2025-11-27,Blue Velvet,1986,https://boxd.it/bQFBaP,4.5,Yes,"idk maybe David Lynch looked at suburbia and said what if we peel the wallpaper and it’s just rot and horniness underneath? Trashy, horny, iconic. Loved it.",,2025-11-26
2025-12-02,Legally Blonde,2001,https://boxd.it/bUqXsn,5,,"A himbo dumped her so she casually reinvented herself into a courtroom menace and said watch me clear this whole patriarchal circus in pink heels And honestly? Mothered. I fear this film made my brain smoother, but in a very comforting, warm pink, serotonin infused way.",,2025-12-02
2025-12-07,Sentimental Value,2025,https://boxd.it/bX5zeh,4,,"Nothing like watching a family implode with the sexiest emotional repression I’ve seen all year. Everyone’s horny for closure they’ll never receive while European men apologise once and call it high art. Gorgeous cinema,didn’t expect a movie to roast my entire bloodline.",,2025-12-06
2025-12-12,The Laughing Woman,1969,https://boxd.it/c0D32D,4,,i fear stockholm syndrome submissive chic but with lighting so good i momentarily forgot feminism,,2025-12-11
2025-12-13,"Good Bye, Lenin!",2003,https://boxd.it/c1mc7x,3.5,,"gaslight your mom so hard you accidentally rebuild a nation. welcum back, fragile castro.",,2025-12-12
2025-12-16,Dhurandhar,2025,https://boxd.it/c3JUqx,0.5,,wow yrr mast. v cute.,,2025-12-15
2025-12-18,The Little Thief,1988,https://boxd.it/c5M3iz,1.5,,"Charlotte Gainsbourg, miscast as the film’s entire personality.",,2025-12-17
2025-12-19,Ardh Satya,1983,https://boxd.it/c6zxz9,1,,performative art house pseudo intellectual starter pack energy. suffocating enough to fry my brain.,,2025-12-18
2025-12-20,Only You,2018,https://boxd.it/c7BXct,3,,"grief kink? aesthetic infertility, and one extremely unfair face",,2025-12-19
2025-12-21,Wake Up Dead Man,2025,https://boxd.it/c8BiLh,3.5,,"Basically less whodunit, plot flirts then pulls away, ofc curated mild edging w atelier.",,2025-12-20
2025-12-24,Bad Boy Bubby,1993,https://boxd.it/cbWN8J,4,,every ‘edgy’ film bro wishes they had the nerve to be this ugly and this clear.uncomfortably humane.,,2025-12-23
2025-12-31,The Driver,1978,https://boxd.it/cl5YuF,3.5,,minimalism so severe it starts to feel erotic. the car does all the acting.,,2025-12-31
2026-01-01,An Evening in Paris,1967,https://boxd.it/clrOi9,,Yes,not a masterpiece. barely a movie. but a yearly new year’s eve rewatch tradition with mom and dad lol.,,2025-12-31
2026-01-03,Youth,2015,https://boxd.it/cnO7hV,0.5,,"old men intellectualising luxury regret, cosplaying mourning for relevance while the camera does unpaid charity work",,2026-01-02
2026-01-04,200 Cigarettes,1999,https://boxd.it/cpRaN5,2.5,,people chain smoking to delay emotional adulthood,,2026-01-03
2026-01-05,Blow Out,1981,https://boxd.it/crt6PB,3.5,,De Palma builds a perfect machine for outrage then lets it purr in neutral.,,2026-01-04
2026-01-06,Carrie,1976,https://boxd.it/ct5oKz,4.5,,a horror film that actually understands its girl,,2026-01-05
2026-01-08,Le Samouraï,1967,https://boxd.it/cve2NR,4.5,Yes,This moves with total control and zero interest in being liked. Joan García would’ve loved this.,,2026-01-07
2026-01-09,i hate myself :),2013,https://boxd.it/cwyo6f,0.5,,"the title made me think, ironically, same.
if this is rock bottom, i’ve been doing better than i thought.
an ugly man mistaking access to a woman.
straight up ick.",,2026-01-08
2026-01-11,It Was Just an Accident,2025,https://boxd.it/cyPMsV,4.5,,"so much heavy history handled with such light, graceful hands. it’s beautiful, simple, and deeply, deeply human. i loved every second. it feels like a long exhale after a decade of holding your breath.

i’m so used to cinema being a race to the bottom of human misery. it’s so rare to see something this fragile and human that doesn’t feel like it’s begging for creative cred. the way it carries all that political weight while staying this gentle is honestly just a generous quiet miracle of a movie.",,2026-01-10
2026-01-16,The Sweetest Thing,2002,https://boxd.it/cEv3Pz,2.5,,"So you’re telling me all that horniness is better in sexting than irl? Cute. male gaze romcom, but not unwatchable. Also the face-stuck-on-dick scene?? cinema lmao.",,2026-01-15
2026-01-17,Belén,2025,https://boxd.it/cGb9w7,4,,"i loved how it gets that the worst things don’t always need background score. sometimes they happen in quiet, sunlit rooms, in the most conservative corners of the world. more like a live feed of where we’re already at.

also lowkey anti trauma-porn without trying to sound smarter than you. it just looks at you like: why are we STILL debating whether a woman gets to exist without suffering first.

dark, yes. but Julieta has this stubborn life in her that the system simply can’t digest. sadly, this isn’t timely. it’s the default setting. like… a necessary scream. anyway genuinely terrifying. like ‘close the app’ terrifying.",,2026-01-17
